frame,hand_index,angle_thumb_pip,angle_thumb_dip,angle_index_pip,angle_index_dip,angle_middle_pip,angle_middle_dip,angle_ring_pip,angle_ring_dip,angle_pinky_pip,angle_pinky_dip,dist_thumb_index,dist_thumb_middle,dist_thumb_ring,dist_thumb_pinky,dist_index_middle,dist_index_ring,dist_index_pinky,dist_middle_ring,dist_middle_pinky,dist_ring_pinky,thumb_y_rel_wrist,thumb_y_rel_index_mcp,thumb_dist_to_index_mcp,thumb_palm_dist,thumb_adduction_angle,index_fret_idx,index_string_idx,index_fret_dist_px,middle_fret_idx,middle_string_idx,middle_fret_dist_px,ring_fret_idx,ring_string_idx,ring_fret_dist_px,pinky_fret_idx,pinky_string_idx,pinky_fret_dist_px
36,0,163.10741169989072,171.11742234150034,121.03741837415086,162.99344204929022,168.853270052481,171.99329957483474,150.16472450980936,163.0428229922846,150.89414318821653,166.9647771681859,0.02153444134148588,0.07481063991869376,0.07845158589964277,0.08299437983233406,0.06840839359711175,0.07822665757177422,0.08281460602089938,0.04247465849763103,0.04802292213863006,0.006362451389679682,-0.08222615718841553,0.019518256187438965,0.05253285298717015,0.04848795569280117,24.8779484838517,,,,,,,,,,,,
36,1,166.82594644995515,176.60175082560778,124.99039233574791,159.7722748035286,122.00908671922345,151.01283028303752,128.63692865959268,161.25361484350756,117.7801600732468,154.58626075662988,0.059832319475330124,0.08219323715902876,0.10253463233614944,0.11200472877399478,0.040394386753445234,0.09746845869604448,0.11744708863632936,0.06689605928058613,0.09098399187918249,0.045991874398822796,-0.1740817427635193,0.003129243850708008,0.08603107275740014,0.08451067535645493,42.69317253919102,,,,,,,,,,,,
37,0,169.41460271915784,169.82794023826023,127.20348670796228,148.00021784334035,165.85095844329658,171.04366618214095,145.5412240176074,160.85541562754602,150.71158390582767,175.72694863271224,0.029584789216225562,0.08230980230751447,0.08610837393632814,0.08828313236010528,0.06586915158251534,0.06531206581108749,0.06680786021333698,0.04481930496546538,0.05548420090989456,0.011224236495739346,-0.07689327001571655,0.022214114665985107,0.050793639552605255,0.045676904877676,28.401177110334295,,,,,,,,,,,,
37,1,165.96965056157737,177.5484835755041,121.08801429521006,158.01989047366453,115.70133925505621,150.4050112157727,127.67799537899455,160.9885099546904,118.9406747701595,155.36794773989314,0.05269442935017238,0.07635177697149965,0.10231770883439602,0.11797023012365529,0.04228596973912171,0.09975769662747434,0.12203365239419611,0.06613446675886402,0.09255368588106873,0.0484083273706546,-0.17749977111816406,0.005401134490966797,0.09605917474541503,0.09394283839769615,43.580540963307094,,,,,,,,,,,,
38,0,165.37595944538694,171.12268260618606,114.4701265428302,136.14122874612562,168.84429115168345,174.23413207803964,139.03252514201907,149.9040173858929,151.32742846556312,167.18370861413982,0.021223626077660984,0.07074932803515313,0.07478384741811546,0.07299069449334131,0.07063835694031668,0.0690694454732253,0.06739728541534792,0.050596258861832936,0.051717272258755734,0.0027851681405140177,-0.06279581785202026,0.030822396278381348,0.05431004389420766,0.04234687917636254,21.55772642310764,,,,,,,,,,,,
38,1,164.7909083799899,177.83372948564735,114.98733457410624,160.95266344223282,116.57159795501157,153.64904183996978,127.59034867919458,163.19159682229528,112.64874190559547,156.77764131878808,0.03091871622174466,0.06361782701096916,0.10093258873532146,0.11781360999370563,0.04766340351119999,0.10190528735973012,0.1187355024905782,0.06370649084873448,0.08705352185689443,0.04533709001780314,-0.18792396783828735,-0.002064645290374756,0.10438445371824585,0.10219254305951506,37.97127316937215,,,,,,,,,,,,
39,0,164.73372756503045,172.08803487275517,123.091213984746,132.47806506504836,173.30580734776694,172.7063072163908,137.63043373520415,145.2078038328618,144.19065952155478,162.18210385540556,0.023150768414407694,0.07448628100414806,0.07570317104472556,0.0750709398841118,0.07930612086160774,0.07462385878927973,0.07413799668807518,0.05447227485662819,0.05897034624052278,0.005557417648483886,-0.057058751583099365,0.035533905029296875,0.06083492595998981,0.04371132400360245,21.225343528607155,,,,,,,,,,,,
39,1,164.38395430428724,176.86896654211637,113.44484930078282,161.36296306908497,112.42239129758691,152.91912731037198,127.09416931355241,160.40629378982575,112.93255092837063,154.19316904511444,0.03445101673643728,0.05697589293021544,0.09104012571148487,0.11242547674464415,0.04284461383054287,0.09551584496426044,0.11305152423339553,0.059164324844053456,0.08201941546170245,0.0456780789835592,-0.19028526544570923,-0.00624006986618042,0.10755198622520994,0.1046839999918172,38.45584507571993,,,,,,,,,,,,
40,0,159.12914593003558,168.49507878154031,124.35012227770291,136.6854290746635,170.01460648969058,173.29093621514892,157.5480187248701,173.33434143038434,137.99626973267817,170.15064359433467,0.028346147297053384,0.07448267668185485,0.0790871342754369,0.09336938757997956,0.07414948378922938,0.07275992260908797,0.08391852362767478,0.04766437540174301,0.08618369514361102,0.039290933233927496,-0.047248780727386475,0.033463358879089355,0.0610088041351263,0.055321223326256934,27.472019637352265,,,,,,,,,,,,
40,1,162.93418328030495,176.1991258333755,118.82371958279617,158.952123801093,121.55242591808606,153.18130668556844,132.78047041079338,163.06087119251632,114.89961129468027,159.38643425680974,0.03446914904539492,0.05534642453600632,0.09507066043157525,0.11438783042952694,0.04450846617701079,0.10713332327353968,0.12515211690533024,0.0714276276576132,0.09602827771205648,0.04887001561073793,-0.18803977966308594,0.007032275199890137,0.10886277302121572,0.1083324143416274,39.11532975285269,,,,,,,,,,,,
