frame,hand_index,angle_thumb_pip,angle_thumb_dip,angle_index_pip,angle_index_dip,angle_middle_pip,angle_middle_dip,angle_ring_pip,angle_ring_dip,angle_pinky_pip,angle_pinky_dip,dist_thumb_index,dist_thumb_middle,dist_thumb_ring,dist_thumb_pinky,dist_index_middle,dist_index_ring,dist_index_pinky,dist_middle_ring,dist_middle_pinky,dist_ring_pinky,thumb_y_rel_wrist,thumb_y_rel_index_mcp,thumb_dist_to_index_mcp,thumb_palm_dist,thumb_adduction_angle
32,0,136.97945499017268,147.70700240842427,174.7601348976284,177.26530544124216,173.96786245098164,179.6600719027756,174.97764851112564,177.854401244937,177.40671469687027,176.72411027880074,0.39959842543259366,0.47494306982406687,0.46880551214587196,0.40706376881787065,0.11455276601377741,0.18328096726539927,0.2988650630270711,0.09339482894370019,0.2525915806840093,0.17025461681400786,-0.23999983072280884,0.09313106536865234,0.12652720798851932,-0.07534324924092235,58.498965043183844
33,0,136.6200284739015,148.77676295000842,174.65756928587447,177.14095094677918,173.90998362072673,179.5708826412109,174.93804251995275,177.8308344924295,177.57182554668034,176.76226390233708,0.39542716441319137,0.4729547311382522,0.4649078886813584,0.4025238809453065,0.11791714564699951,0.18572136990243726,0.3004971042838934,0.09412040096553878,0.2538056392840322,0.1704173473960418,-0.24518966674804688,0.08969610929489136,0.12335367301551314,-0.07101504569444997,58.09971846574556
34,0,136.47346997043886,150.4948755639855,174.70291268687157,177.06059140565355,173.9063541915475,179.45140802488703,175.01190185870178,177.9109845304689,177.53408230302227,176.83368217045964,0.3961906861329924,0.47205171643905935,0.4622319255296858,0.4004938453007146,0.11602635098836425,0.18359320695132159,0.30183233776631796,0.09430571444432914,0.25629390686559916,0.17190412940026276,-0.24973410367965698,0.08721941709518433,0.12300713750617054,-0.07390164081720288,57.81593948062391
35,0,138.08929409445358,155.11308757290553,174.7774349857769,177.15078970951674,173.86308732497602,179.52657224507288,175.14807753514293,177.96993555733573,177.54890324675915,176.68297283182483,0.3939465991473112,0.47144244304882027,0.46417293833784085,0.40482233604748075,0.11601652058537608,0.18385670841146115,0.3030272039342169,0.09408709917543727,0.25748119117461876,0.1736154985758082,-0.25059664249420166,0.08676433563232422,0.12024598277848005,-0.07883948154015173,58.34711007405075
36,0,138.13373618592982,156.1239598600846,174.7139996416452,177.29579176143645,173.66968683586956,179.49707867239385,175.16400648620035,177.99912834263995,177.17259386798975,176.66881910075793,0.39333565952175686,0.4698111771941636,0.4650095027591709,0.4055128358480716,0.11542275910824899,0.18505399302524642,0.30373646756735817,0.09425425958259488,0.25708369389625985,0.1739344166290826,-0.25143545866012573,0.08562052249908447,0.11867753880166607,-0.07972657005603873,58.99903000956332
37,0,135.1961138843897,139.48099709279987,174.76351176330877,177.62771438457878,174.1643338260447,179.45804585005408,175.10968067329424,177.78367068037988,177.52901088294882,176.8259453468076,0.408668832123291,0.48310752457216577,0.4723669124888821,0.4032567914894115,0.11533844511169886,0.18387997286013896,0.30230177441226186,0.09527967082344481,0.2586064691599155,0.1741771055661816,-0.24131369590759277,0.09682220220565796,0.13191215444610976,-0.07127713651880968,59.2914992957113
38,0,142.92535096625716,142.3579733867283,175.0250393082205,177.5126130154656,174.45055030877353,179.504043678871,175.45727273983303,178.06160438952006,176.8616520230625,177.10836574085118,0.3898891512073072,0.4718443419714639,0.46985719887347577,0.4152196150070024,0.11701070456464627,0.18693066850231735,0.30607215152763784,0.09609085516343381,0.26064103089238944,0.17587730350069275,-0.24326485395431519,0.08909106254577637,0.11017747956699814,-0.0707097270203996,61.35087377966256
39,0,161.27706385339877,138.23498200740437,175.01842066859254,176.26622137007553,174.94364455188597,178.97221548807295,176.80300587672352,177.40227842220335,177.07671285282066,176.55320298078294,0.3589882920992424,0.44955249401658487,0.4615666867222686,0.4333605761994427,0.11466559585624435,0.18753746505023225,0.30765535101985614,0.09813026007532041,0.26191823420071864,0.1749778947480144,-0.2578859329223633,0.0746392011642456,0.11010360946348642,-0.08852713249015674,58.77522284922019
40,0,170.78805612341432,167.14645717748445,175.27722353015832,175.9139395359909,175.54921692210334,178.67185312755439,177.04472885646535,176.7307457493673,175.61813373277212,175.73370997775734,0.36840493282079556,0.4681598890430694,0.48914846708764403,0.4816119800622928,0.11313061498177718,0.18186590859405005,0.3076076029842828,0.09558110713852594,0.2651790579192439,0.17927676957419028,-0.24866050481796265,0.0795711874961853,0.15028073645867177,-0.10165379606151648,56.09873384268705
41,0,173.69245531689933,178.85642350914702,175.23565858160353,176.523384699374,175.39154553607395,178.6784496630378,176.92024667963813,176.63862225738555,176.25917995031682,176.29011952983285,0.3864134885352105,0.4861427358863125,0.5083076206568946,0.5073137300851757,0.10913376938510788,0.17496516408791807,0.3074895848312572,0.09374552793720076,0.26971697913756815,0.18489429664327547,-0.23694777488708496,0.09139907360076904,0.172800131685914,-0.11008828612437613,56.960422157679425
